ITEM: TIMESTEP 
30000
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
2 2.25554 1.6004 2.90144 62 0 
2 4.58171 1.13133 2.52905 63 0 
2 2.25728 1.32489 3.72373 64 0 
2 4.0811 2.33975 3.58701 65 0 
2 3.99185 3.0052 4.17468 66 0 
2 1.00438 -0.17855 4.89885 67 0 
2 1.41558 0.323984 4.48578 68 0 
2 0.415265 1.11437 4.49205 69 0 
2 1.06656 1.65965 4.58865 70 0 
2 1.9333 0.951072 4.26548 71 0 
2 1.66561 2.22315 4.55744 72 0 
2 2.07567 2.87842 4.60779 73 0 
2 5.05202 0.837098 4.75366 74 0 
2 1.29062 3.2315 0.861205 75 0 
2 1.04976 3.85607 0.392174 76 0 
2 2.62945 5.5052 0.675357 77 0 
2 3.24698 5.00601 0.343025 78 0 
2 1.62444 2.65816 1.4683 79 0 
2 2.9414 2.65524 0.854657 80 0 
2 0.281542 4.22095 1.39132 81 0 
2 0.320854 4.87027 0.880965 82 0 
2 0.601757 2.86896 2.16686 83 0 
2 0.354335 3.56737 1.8179 84 0 
2 1.22808 5.13762 2.81191 85 0 
2 0.805251 4.76856 3.45035 86 0 
2 1.56078 3.96068 3.20773 87 0 
2 2.35301 3.94317 3.42543 88 0 
2 0.209198 4.48757 3.87245 89 0 
2 3.1124 4.17599 3.50755 90 0 
2 3.85345 4.46616 3.7083 91 0 
2 4.67731 4.46511 3.89602 92 0 
2 3.80369 3.78105 4.66702 93 0 
2 3.61299 4.46248 5.18638 94 0 
2 0.928381 4.5659 5.3523 95 0 
ITEM: TIMESTEP
30004
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
1 7.57078 -3.51628 2.53992 1 1 
1 7.578 -3.82224 3.32384 2 1 
1 7.48455 -4.02213 4.2003 3 1 
1 7.02346 -4.66227 4.34855 4 1 
1 6.57422 -5.31051 4.65293 5 1 
1 6.07722 -5.715 5.13411 6 1 
1 6.32609 -6.47063 5.43667 7 1 
1 6.38661 -7.09956 5.90419 8 1 
1 6.79612 -7.67996 6.39896 9 1 
1 7.01589 -8.17558 7.11192 10 1 
1 -6.06795 1.09412 -2.39641 11 2 
1 -6.08301 1.15813 -3.16185 12 2 
1 -5.83359 0.864986 -3.9362 13 2 
1 -6.05031 0.874778 -4.70885 14 2 
1 -5.7146 0.730809 -5.55919 15 2 
1 -5.24643 0.934405 -6.19991 16 2 
1 -4.47151 1.32486 -6.10732 17 2 
1 -3.99848 1.96704 -6.06668 18 2 
1 -3.30919 2.41057 -6.094 19 2 
1 -3.09223 3.30439 -5.94896 20 2 
1 20.0283 7.37606 3.28776 21 3 
1 20.0456 7.96929 3.93081 22 3 
1 19.9479 8.68173 4.49895 23 3 
1 19.6681 9.46303 4.87813 24 3 
1 19.4511 10.0102 5.53204 25 3 
1 18.9067 10.5784 5.79541 26 3 
1 18.2852 10.9952 6.15625 27 3 
1 17.6397 11.3789 6.7315 28 3 
1 16.9224 11.0382 6.76088 29 3 
1 16.1795 10.5516 6.95572 30 3 
1 -14.1691 0.695744 2.33149 31 4 
1 -14.4891 0.0108865 2.55854 32 4 
1 -14.9426 -0.363762 3.06212 33 4 
1 -15.3416 -0.823852 3.81978 34 4 
1 -16.1687 -0.818482 3.88402 35 4 
1 -17.0079 -0.742681 3.88407 36 4 
1 -17.8251 -0.889012 3.54468 37 4 
1 -18.4872 -1.35499 3.43881 38 4 
1 -19.3445 -1.48103 3.39853 39 4 
1 -20.0665 -1.30171 3.018 40 4 
1 8.57639 18.9344 -4.40047 41 5 
1 7.9275 18.2665 -4.53415 42 5 
1 7.25652 17.6572 -4.70534 43 5 
1 6.64014 17.1481 -4.71142 44 5 
1 6.09116 16.4732 -4.90465 45 5 
1 5.6941 15.916 -4.60005 46 5 
1 5.54118 15.1363 -4.22103 47 5 
1 5.57852 14.5672 -3.60444 48 5 
1 5.72771 13.8055 -3.44456 49 5 
1 6.02219 13.2041 -2.95146 50 5 
2 0.570036 0.241126 0.513814 51 0 
2 1.0599 0.844169 0.424172 52 0 
2 4.67363 0.804065 0.2232 53 0 
2 1.67386 1.44099 0.553481 54 0 
2 2.02058 0.553639 1.11231 55 0 
2 2.32087 2.03617 0.689593 56 0 
2 0.61322 0.227951 1.5296 57 0 
2 1.34097 0.575998 1.39272 58 0 
2 4.6614 0.897792 1.0207 59 0 
2 1.64729 0.313601 2.43674 60 0 
2 4.69466 1.03641 1.73802 61 0 
2 2.25554 1.6004 2.90144 62 0 
2 4.58171 1.13133 2.52905 63 0 
2 2.25728 1.32489 3.72373 64 0 
2 4.0811 2.33975 3.58701 65 0 
2 3.99185 3.0052 4.17468 66 0 
2 1.00438 -0.17855 4.89885 67 0 
2 1.41558 0.323984 4.48578 68 0 
2 0.415265 1.11437 4.49205 69 0 
2 1.06656 1.65965 4.58865 70 0 
2 1.9333 0.951072 4.26548 71 0 
2 1.66561 2.22315 4.55744 72 0 
2 2.07567 2.87842 4.60779 73 0 
2 5.05202 0.837098 4.75366 74 0 
2 1.29062 3.2315 0.861205 75 0 
2 1.04976 3.85607 0.392174 76 0 
2 2.62945 5.5052 0.675357 77 0 
2 3.24698 5.00601 0.343025 78 0 
2 1.62444 2.65816 1.4683 79 0 
2 2.9414 2.65524 0.854657 80 0 
2 0.281542 4.22095 1.39132 81 0 
2 0.320854 4.87027 0.880965 82 0 
2 0.601757 2.86896 2.16686 83 0 
2 0.354335 3.56737 1.8179 84 0 
2 1.22808 5.13762 2.81191 85 0 
2 0.805251 4.76856 3.45035 86 0 
2 1.56078 3.96068 3.20773 87 0 
2 2.35301 3.94317 3.42543 88 0 
2 0.209198 4.48757 3.87245 89 0 
2 3.1124 4.17599 3.50755 90 0 
2 3.85345 4.46616 3.7083 91 0 
2 4.67731 4.46511 3.89602 92 0 
2 3.80369 3.78105 4.66702 93 0 
2 3.61299 4.46248 5.18638 94 0 
2 0.928381 4.5659 5.3523 95 0 
ITEM: TIMESTEP
30005
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
1 7.57883 -3.52031 2.54582 1 1 
1 7.57279 -3.79635 3.33938 2 1 
1 7.47147 -4.01219 4.20199 3 1 
1 7.04124 -4.66134 4.34439 4 1 
1 6.59268 -5.30775 4.66306 5 1 
1 6.06344 -5.73012 5.12149 6 1 
1 6.31547 -6.46866 5.41446 7 1 
1 6.39515 -7.11051 5.91155 8 1 
1 6.78377 -7.6767 6.38948 9 1 
1 7.00938 -8.15578 7.10619 10 1 
1 -6.06339 1.09089 -2.40454 11 2 
1 -6.1022 1.15834 -3.14898 12 2 
1 -5.82693 0.852985 -3.93438 13 2 
1 -6.04272 0.871138 -4.73572 14 2 
1 -5.68857 0.732788 -5.56114 15 2 
1 -5.22476 0.933367 -6.19148 16 2 
1 -4.47535 1.33178 -6.12604 17 2 
1 -3.99534 1.94855 -6.07465 18 2 
1 -3.31112 2.42458 -6.08947 19 2 
1 -3.06915 3.2835 -5.95462 20 2 
1 20.0204 7.38425 3.2867 21 3 
1 20.0609 7.97742 3.94845 22 3 
1 19.9621 8.68415 4.50301 23 3 
1 19.6874 9.44361 4.88166 24 3 
1 19.4381 10.0019 5.53399 25 3 
1 18.917 10.5723 5.79372 26 3 
1 18.2831 10.9896 6.15842 27 3 
1 17.6483 11.3917 6.73663 28 3 
1 16.914 11.0208 6.77017 29 3 
1 16.1795 10.5378 6.95704 30 3 
